0,25
1,13
2,22
3,2
4,18
5,17
6,11
7,22
8,13
9,20
10,6
11,9
12,11
13,14
14,4
15,5
16,18
17,3
18,2
19,12
20,3
21,0
22,9
23,17
24,9
25,4
26,22
27,20
28,23
29,11
30,1
31,23
32,19
33,14
34,20
35,24
36,2
37,19
38,1
39,17
40,16
41,20
42,13
43,15
44,12
45,13
46,7
47,14
48,24
49,0
50,7
51,3
52,22
53,20
54,15
55,2
56,23
57,9
58,1
59,14
60,13
61,2
62,1
63,10
64,0
65,0
66,14
67,20
68,24
69,21
70,24
71,0
72,21
73,8
74,21
75,18
76,15
77,5
78,2
79,19
0,[3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
1,[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
2,[0 0 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
3,[0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
4,[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
5,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
6,[1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0]
7,[0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0]
8,[0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]
9,[0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
10,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0]
11,[0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0]
12,[0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0]
13,[0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 0 0 0 0]
14,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0]
15,[0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
16,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0]
17,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0]
18,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0]
19,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0]
20,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0]
21,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0]
22,[1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0]
23,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0]
24,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0]
25,[0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
class,precision,recall,fscore,total
0,0.6,0.75,0.6666666666666665,4
1,0.0,0.0,0.0,2
2,0.5,0.75,0.6,4
3,0.3333333333333333,0.3333333333333333,0.3333333333333333,3
4,0.5,0.5,0.5,2
5,0.5,0.5,0.5,2
6,0.0,0.0,0.0,4
7,0.5,0.3333333333333333,0.4,3
8,1.0,0.3333333333333333,0.5,3
9,0.75,0.75,0.75,4
10,0.0,0.0,0.0,3
11,0.6666666666666666,0.5,0.5714285714285715,4
12,0.0,0.0,0.0,3
13,0.4,0.5,0.4444444444444445,4
14,0.4,0.6666666666666666,0.5,3
15,0.3333333333333333,0.3333333333333333,0.3333333333333333,3
16,1.0,0.3333333333333333,0.5,3
17,0.6666666666666666,0.5,0.5714285714285715,4
18,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
19,0.3333333333333333,0.5,0.4,2
20,0.5,1.0,0.6666666666666666,3
21,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
22,0.25,0.3333333333333333,0.28571428571428575,3
23,0.3333333333333333,0.5,0.4,2
24,0.5,0.6666666666666666,0.5714285714285715,3
25,0.0,0.0,0.0,3
accuracy,0.45
f1_macro,0.4164529914529914
f1_weighted,0.4285912698412699
