class,precision,recall,fscore,total
0,0.6,0.75,0.6666666666666665,4
1,0.0,0.0,0.0,2
2,0.5,0.75,0.6,4
3,0.3333333333333333,0.3333333333333333,0.3333333333333333,3
4,0.5,0.5,0.5,2
5,0.5,0.5,0.5,2
6,0.0,0.0,0.0,4
7,0.5,0.3333333333333333,0.4,3
8,1.0,0.3333333333333333,0.5,3
9,0.75,0.75,0.75,4
10,0.0,0.0,0.0,3
11,0.6666666666666666,0.5,0.5714285714285715,4
12,0.0,0.0,0.0,3
13,0.4,0.5,0.4444444444444445,4
14,0.4,0.6666666666666666,0.5,3
15,0.3333333333333333,0.3333333333333333,0.3333333333333333,3
16,1.0,0.3333333333333333,0.5,3
17,0.6666666666666666,0.5,0.5714285714285715,4
18,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
19,0.3333333333333333,0.5,0.4,2
20,0.5,1.0,0.6666666666666666,3
21,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
22,0.25,0.3333333333333333,0.28571428571428575,3
23,0.3333333333333333,0.5,0.4,2
24,0.5,0.6666666666666666,0.5714285714285715,3
25,0.0,0.0,0.0,3
